time_seconds,time_hours,voltage_v,current_a,discharge_capacity_ah
1440.0,0.4,3.6519601480642754,5.0,1.9999999999999991
1470.0,0.4083333333333333,3.6440184382854217,5.0,2.041666666666666
1500.0,0.4166666666666667,3.636381031276046,5.0,2.0833333333333326
1530.0,0.425,3.6290406783105773,5.0,2.124999999999999
1560.0,0.43333333333333335,3.6219934479913487,5.0,2.166666666666666
1590.0,0.44166666666666665,3.6152344433898254,5.0,2.2083333333333326
1620.0,0.45,3.6087554074816204,5.0,2.249999999999999
1650.0,0.4583333333333333,3.60254388078718,5.0,2.291666666666666
1680.0,0.4666666666666667,3.5965835351981985,5.0,2.3333333333333326
1710.0,0.475,3.5908546815068565,5.0,2.374999999999999
1740.0,0.48333333333333334,3.5853352193096053,5.0,2.416666666666666
1770.0,0.49166666666666664,3.580001748446766,5.0,2.4583333333333326
1800.0,0.5,3.5748303217233968,5.0,2.499999999999999
1830.0,0.5083333333333333,3.569797056558434,5.0,2.541666666666666
1860.0,0.5166666666666667,3.564878827890944,5.0,2.5833333333333326
1890.0,0.525,3.560053279938851,5.0,2.624999999999999
1920.0,0.5333333333333333,3.5552981788705966,5.0,2.6666666666666656
1950.0,0.5416666666666666,3.550592107737351,5.0,2.7083333333333326
1980.0,0.55,3.545913942637698,5.0,2.749999999999999
2010.0,0.5583333333333333,3.5412425043296563,5.0,2.7916666666666656
2040.0,0.5666666666666667,3.5365560950841415,5.0,2.833333333333332
2070.0,0.575,3.5318319463248615,5.0,2.874999999999999
2100.0,0.5833333333333334,3.527046084426675,5.0,2.9166666666666656
2130.0,0.5916666666666667,3.522172516575793,5.0,2.958333333333332
2160.0,0.6,3.5171828975059336,5.0,2.999999999999999
2190.0,0.6083333333333333,3.5120462152150376,5.0,3.0416666666666656
2220.0,0.6166666666666667,3.506728677071575,5.0,3.083333333333332
2250.0,0.625,3.5011938404104357,5.0,3.1249999999999987
2280.0,0.6333333333333333,3.495403473022908,5.0,3.166666666666665
2310.0,0.6416666666666667,3.4893186986195643,5.0,3.208333333333332
2340.0,0.65,3.482902115367697,5.0,3.2499999999999987
2370.0,0.6583333333333333,3.4761207475355844,5.0,3.291666666666665
2400.0,0.6666666666666666,3.4689498413537048,5.0,3.333333333333332
2430.0,0.675,3.461377425240336,5.0,3.3749999999999987
2460.0,0.6833333333333333,3.4534084666085443,5.0,3.416666666666665
2490.0,0.6916666666666667,3.4450688324255636,5.0,3.4583333333333317
2520.0,0.7,3.436407328741598,5.0,3.4999999999999987
2550.0,0.7083333333333334,3.427495062096072,5.0,3.541666666666665
2580.0,0.7166666666666667,3.4184215917529945,5.0,3.5833333333333317
2610.0,0.725,3.4092880977284477,5.0,3.6249999999999982
2640.0,0.7333333333333333,3.400198004536864,5.0,3.666666666666665
2670.0,0.7416666666666667,3.3912471361766583,5.0,3.7083333333333317
2700.0,0.75,3.3825149514298545,5.0,3.7499999999999982
2730.0,0.7583333333333333,3.374057878873781,5.0,3.791666666666665
2760.0,0.7666666666666667,3.365905494486265,5.0,3.8333333333333317
2790.0,0.775,3.358059158310751,5.0,3.8749999999999982
2820.0,0.7833333333333333,3.350492086617747,5.0,3.9166666666666647
2850.0,0.7916666666666666,3.3431494347328234,5.0,3.9583333333333317
2880.0,0.8,3.335946857323312,5.0,3.9999999999999982
2910.0,0.8083333333333333,3.328766036660004,5.0,4.041666666666665
2940.0,0.8166666666666667,3.3214458244395884,5.0,4.083333333333331
2970.0,0.825,3.313767972738424,5.0,4.124999999999998
3000.0,0.8333333333333334,3.305437431593437,5.0,4.166666666666665
3030.0,0.8416666666666667,3.2960598840450506,5.0,4.208333333333332
3060.0,0.85,3.2851240745459234,5.0,4.249999999999998
3090.0,0.8583333333333333,3.2720074623681907,5.0,4.291666666666665
3120.0,0.8666666666666667,3.2560359139816475,5.0,4.333333333333332
3150.0,0.875,3.2366326154333964,5.0,4.374999999999998
3180.0,0.8833333333333333,3.213559553654552,5.0,4.416666666666665
3210.0,0.8916666666666667,3.187163051160469,5.0,4.458333333333332
3240.0,0.9,3.158428910787606,5.0,4.499999999999998
3270.0,0.9083333333333333,3.1286846771341077,5.0,4.541666666666665
3300.0,0.9166666666666666,3.0990378231795357,5.0,4.583333333333332
3330.0,0.925,3.0698799913647132,5.0,4.624999999999998
3360.0,0.9333333333333333,3.0407137524856713,5.0,4.666666666666665
3390.0,0.9416666666666667,3.0102652266970775,5.0,4.708333333333331
3420.0,0.95,2.976677233791901,5.0,4.749999999999998
3450.0,0.9583333333333334,2.9376186109612306,5.0,4.791666666666665
3480.0,0.9666666666666667,2.8902580644505678,5.0,4.833333333333331
3510.0,0.975,2.8311141004060265,5.0,4.874999999999998
3540.0,0.9833333333333333,2.7558010876286994,5.0,4.916666666666665
3570.0,0.9916666666666667,2.658674928483161,5.0,4.958333333333331
3600.0,1.0,2.53235916249563,5.0,4.999999999999998
3606.548947107627,1.001819151974341,2.499999999999755,5.0,5.009095759871703
