parameter_name,unit,value_type,numeric_value,text_value,parameter_set_name,pybamm_version,candidate_source_doi,paper_verification_status,paper_page,paper_table,paper_raw_name,paper_raw_value,paper_raw_unit,verification_notes
Positive electrode porosity,,scalar,0.335,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode reaction-driven LAM factor [m3.mol-1],m3.mol-1,scalar,0.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode specific heat capacity [J.kg-1.K-1],J.kg-1.K-1,scalar,700.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode thermal conductivity [W.m-1.K-1],W.m-1.K-1,scalar,2.1,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive electrode thickness [m],m,scalar,7.56e-05,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive particle diffusivity [m2.s-1],m2.s-1,scalar,4e-15,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Positive particle radius [m],m,scalar,5.22e-06,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Ratio of lithium moles to SEI moles,,scalar,2.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Reference temperature [K],K,scalar,298.15,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI electron conductivity [S.m-1],S.m-1,scalar,8.95e-14,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI growth activation energy [J.mol-1],J.mol-1,scalar,0.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI kinetic rate constant [m.s-1],m.s-1,scalar,1e-12,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI lithium interstitial diffusivity [m2.s-1],m2.s-1,scalar,1e-20,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI open-circuit potential [V],V,scalar,0.4,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI partial molar volume [m3.mol-1],m3.mol-1,scalar,9.585e-05,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI reaction exchange current density [A.m-2],A.m-2,scalar,1.5e-07,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI resistivity [Ohm.m],Ohm.m,scalar,200000.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
SEI solvent diffusivity [m2.s-1],m2.s-1,scalar,2.5e-22,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Separator Bruggeman coefficient (electrolyte),,scalar,1.5,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Separator density [kg.m-3],kg.m-3,scalar,397.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Separator porosity,,scalar,0.47,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Separator specific heat capacity [J.kg-1.K-1],J.kg-1.K-1,scalar,700.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Separator thermal conductivity [W.m-1.K-1],W.m-1.K-1,scalar,0.16,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Separator thickness [m],m,scalar,1.2e-05,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Thermodynamic factor,,scalar,1.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Total heat transfer coefficient [W.m-2.K-1],W.m-2.K-1,scalar,10.0,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
Upper voltage cut-off [V],V,scalar,4.2,,Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
citations,,structured,,"[""Chen2020""]",Chen2020,26.8.0.0,10.1149/1945-7111/ab9050,not_checked,,,,,,
